tgt gen
0.0 0.0
0.0 0.0
4.0 5.458
4.0 4.7335
0.0 0.0
0.0 0.0
0.0 0.0
2.0 0.9041
0.0 0.6672
0.0 0.4643
4.0 3.5698
0.0 0.6381
1.0 0.4581
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
1.0 0.7209
1.0 1.4016
0.0 0.0
1.0 1.0379
0.0 0.7932
0.0 0.0
0.0 0.3508
0.0 0.0
1.0 0.5308
4.0 3.2847
1.0 0.0
1.0 0.5965
0.0 0.0
1.0 0.866
2.0 1.2018
1.0 0.2305
1.0 0.87
1.0 0.7766
0.0 1.8052
1.0 0.6052
0.0 0.369
0.0 0.0
0.0 0.0
0.0 0.3311
1.0 0.7464
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.2793
0.0 0.0
1.0 0.0
0.0 0.0
1.0 0.0
0.0 0.0
0.0 0.6562
1.0 0.2516
0.0 0.0
0.0 0.5968
0.0 0.9697
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
1.0 0.6984
0.0 0.4694
0.0 0.4911
1.0 0.6162
3.0 0.5001
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
1.0 0.4933
1.0 0.7971
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.2809
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
1.0 0.4181
1.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.159
1.0 0.9593
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.1582
0.0 0.0
0.0 0.0
0.0 0.4673
1.0 0.5177
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.6933
0.0 0.0
0.0 0.0
0.0 0.0
4.0 1.1695
1.0 0.0
