tgt gen
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0001 0.0
0.0001 0.0
0.0001 0.0
0.0002 0.0
0.0003 0.0
0.0005 0.0
0.0007 0.0
0.0011 0.0
0.0015 0.0
0.0022 0.0
0.0031 0.0
0.0043 0.0
0.006 0.0
0.0082 0.0
0.0111 0.0
0.0149 0.0
0.0198 0.0
0.0261 0.0
0.034 0.0
0.0439 0.0
0.0561 0.0
0.071 0.0
0.0889 0.0
0.1103 0.0
0.1353 0.0
0.1645 0.0
0.1979 0.1547
0.2357 0.2658
0.278 0.2742
0.3247 0.3244
0.3753 0.4798
0.4296 0.663
0.4868 0.5774
0.5461 0.0
0.6065 0.6977
0.667 0.3214
0.7261 0.0
0.7827 0.0
0.8353 0.8457
0.8825 0.8902
0.9231 0.0
0.956 0.0
0.9802 0.9676
0.995 1.026
1.0 0.9336
0.995 0.9646
0.9802 1.0272
0.956 0.9082
0.9231 0.8893
0.8825 0.8825
0.8353 0.8371
0.7827 0.0
0.7261 0.7232
0.667 0.0
0.6065 0.5708
0.5461 0.5652
0.4868 0.4664
0.4296 0.0
0.3753 0.394
0.3247 0.3004
0.278 0.3305
0.2357 0.0
0.1979 0.2403
0.1645 0.1719
0.1353 0.1561
0.1103 0.0
0.0889 0.0
