tgt gen
1.0 0.4823
0.995 0.6074
0.9802 0.6105
0.956 0.0
0.9231 0.0
0.8825 0.6391
0.8353 0.586
0.7827 0.6942
0.7261 0.5564
0.667 0.0
0.6065 0.6814
0.5461 0.6608
0.4868 0.4933
0.4296 0.6494
0.3753 0.4554
0.3247 0.5915
0.278 0.5779
0.2357 0.4334
0.1979 0.4985
0.1645 0.4143
0.1353 0.4622
0.1103 0.3867
0.0889 0.34
0.071 0.0
0.0561 0.2791
0.0439 0.0
0.034 0.2669
0.0261 0.0
0.0198 0.3142
0.0149 0.1319
0.0111 0.1235
0.0082 0.1931
0.006 0.2326
0.0043 0.0
0.0031 0.1201
0.0022 0.0289
0.0015 0.0
0.0011 0.0
0.0007 0.0
0.0005 0.0
0.0003 0.0
0.0002 0.0
0.0001 0.0
0.0001 0.0
0.0001 0.0
0.0 0.0
0.0 0.0479
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0458
0.0 0.0
0.0 0.0357
0.0 0.0
0.0 0.0
0.0 0.0085
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0355
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0607
0.0 0.0
0.0 0.0419
0.0 0.1332
0.0 0.0163
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0474
0.0 0.0
0.0 0.0
0.0 0.0175
0.0 0.0
0.0 0.0002
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0041
0.0 0.0
0.0 0.0429
0.0 0.1104
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0213
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0155
0.0 0.0111
0.0 0.0
0.0 0.0312
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
